,Time,Artist,Song
174,2019-08-06 01:20:17,PnB Rock,I Like Girls (feat. Lil Skies)
175,2019-08-06 01:16:50,Trey Songz,Say Aah (feat. Fabolous)
176,2019-08-06 01:14:32,Cardi B,Press
177,2019-08-06 01:11:11,Dae Dae,Spend It
178,2019-08-06 01:08:19,A Boogie Wit da Hoodie,Look Back At It (feat. CAPO PLAZA)
179,2019-08-06 01:04:09,Missy Elliott,Work It
180,2019-08-06 01:00:35,Bruno Mars,Finesse
181,2019-08-06 00:58:31,Saweetie,My Type
182,2019-08-06 00:54:38,Twista,Overnight Celebrity
183,2019-08-06 00:51:39,BlocBoy JB (feat. Drake),Look Alive
184,2019-08-06 00:47:55,The Notorious B.I.G.,Hypnotize
185,2019-08-06 00:44:33,Meek Mill,Whatever You Need (feat. Chris Brown & Ty Dolla $ign)
186,2019-08-06 00:40:24,Plies,Shawty (feat. T Pain)
187,2019-08-06 00:37:38,PJ,One Missed Call
188,2019-08-06 00:32:28,Fetty Wap,Again
189,2019-08-06 00:28:57,Migos,Handsome And Wealthy
190,2019-08-06 00:25:48,"Fat Joe , Remy Ma (feat. French Montana , Infared)",All The Way Up
191,2019-08-06 00:22:58,LIZZO,Truth Hurts
192,2019-08-06 00:19:20,T.I.,Whatever You Like
193,2019-08-06 00:16:03,"Cardi B , Bruno Mars",Please Me
194,2019-08-06 00:12:38,Childish Gambino,Redbone
195,2019-08-06 00:10:03,Roddy Ricch,Die Young
196,2019-08-06 00:06:40,Trey Songz,Can't Help but Wait
197,2019-08-06 00:03:41,Gucci Mane,Both (feat. Drake)
198,2019-08-06 00:00:01,Meek Mill,24/7 (feat. Ella Mai)
199,2019-08-05 22:50:33,Lil Wayne,How To Love
200,2019-08-05 22:47:45,"YG, Tyga , Jon Z",Go Loko
201,2019-08-05 22:44:57,Khalid,Talk
202,2019-08-05 22:41:33,Big Sean,Single Again
203,2019-08-05 22:37:56,Kodak Black,ZEZE (feat. Travis Scott & Offset)
204,2019-08-05 22:32:23,Meek Mill,Going Bad (feat. Drake)
205,2019-08-05 22:22:14,T-Pain feat. B.o.B,Up Down (Do This All Day)
206,2019-08-05 22:19:38,A Boogie Wit da Hoodie,Look Back At It (feat. CAPO PLAZA)
207,2019-08-05 22:13:02,"Khalid feat. Ty Dolla $ign , 6lack",OTW
208,2019-08-05 22:11:03,Saweetie,My Type
209,2019-08-05 22:07:32,Meek Mill,24/7 (feat. Ella Mai)
210,2019-08-05 22:04:46,Drake,Energy
211,2019-08-05 20:52:57,Meek Mill,Dangerous (feat. Jeremih and PnB Rock)
212,2019-08-05 20:50:39,PnB Rock,I Like Girls (feat. Lil Skies)
213,2019-08-05 20:47:31,Flipp Dinero,Leave Me Alone
214,2019-08-05 20:44:51,Drake,God's Plan
215,2019-08-05 20:41:22,Meek Mill,24/7 (feat. Ella Mai)
216,2019-08-05 20:35:56,Post Malone,Wow.
217,2019-08-05 20:33:18,City Girls,Act Up
218,2019-08-05 20:29:12,Chris Brown feat. Drake,No Guidance
219,2019-08-05 20:22:40,DaBaby,Suge
220,2019-08-05 20:19:59,"Khalid , Disclosure",Talk
221,2019-08-05 20:12:30,Derek King,Tetris
222,2019-08-05 20:09:57,Meek Mill,Going Bad (feat. Drake)
223,2019-08-05 20:07:12,"Jacquees , Lil Baby",Your Peace
224,2019-08-05 20:03:14,"YG, 2 Chainz, Big Sean, , Nicki Minaj",BIG BANK
225,2019-08-05 18:48:17,XXXTENTACION,SAD!
226,2019-08-05 18:45:47,Meek Mill,Going Bad (feat. Drake)
227,2019-08-05 18:42:43,LIZZO,Truth Hurts
228,2019-08-05 18:39:56,Kendrick Lamar,HUMBLE.
